event_id,timestamp,username,event_type,location,ip_address,failed_attempts,data_transferred_mb,privileged_account,risk_score,risk_level
1,2026-09-12 19:55:06.990451,finance01,Privilege Change,New Jersey,10.0.0.25,0,0,False,30,Medium
2,2026-08-27 20:54:06.990451,employee02,Data Transfer,London,192.168.1.20,0,1465,False,35,Medium
3,2026-08-25 01:16:06.990451,developer01,Failed Login,Texas,192.168.1.20,7,0,False,40,Medium
4,2026-08-25 08:11:06.990451,employee02,Data Transfer,Texas,192.168.1.30,0,250,False,10,Low
5,2026-09-03 01:04:06.990451,admin01,Failed Login,New Jersey,10.0.0.15,5,0,True,55,Medium
6,2026-09-04 15:50:06.990451,finance01,Successful Login,London,192.168.1.10,0,0,False,10,Low
7,2026-09-05 13:15:06.990451,analyst01,Privilege Change,New York,172.16.0.10,0,0,False,30,Medium
8,2026-08-22 20:14:06.990451,analyst01,Privilege Change,California,192.168.1.30,0,0,False,40,Medium
9,2026-08-17 12:44:06.990451,developer01,Privilege Change,London,192.168.1.30,0,0,False,40,Medium
10,2026-08-19 10:48:06.990451,developer01,Failed Login,New York,10.0.0.25,5,0,False,30,Medium
11,2026-08-26 10:45:06.990451,trader01,Successful Login,California,192.168.1.10,0,0,False,10,Low
12,2026-08-20 02:34:06.990451,trader01,File Access,Texas,172.16.0.10,0,0,False,15,Low
13,2026-08-19 01:12:06.990451,analyst01,File Access,Connecticut,192.168.1.30,0,0,False,5,Low
14,2026-08-21 17:51:06.990451,employee02,Successful Login,California,10.0.0.25,0,0,False,10,Low
15,2026-08-28 06:04:06.990451,employee02,Successful Login,Connecticut,192.168.1.10,0,0,False,0,Low
16,2026-09-05 22:19:06.990451,finance01,Failed Login,New Jersey,192.168.1.10,3,0,False,20,Low
17,2026-08-30 03:10:06.990451,developer01,Failed Login,California,192.168.1.30,9,0,False,50,Medium
18,2026-08-22 19:04:06.990451,admin01,Privilege Change,London,192.168.1.30,0,0,True,65,High
19,2026-08-25 07:29:06.990451,finance01,Password Reset,Chicago,10.0.0.15,0,0,False,10,Low
20,2026-09-06 05:25:06.990451,trader01,Password Reset,Texas,172.16.0.10,0,0,False,20,Low
21,2026-09-10 08:33:06.990451,developer01,Failed Login,New Jersey,172.16.0.10,9,0,False,40,Medium
22,2026-09-02 08:13:06.990451,finance01,Successful Login,Connecticut,192.168.1.30,0,0,False,0,Low
23,2026-08-29 08:35:06.990451,employee01,Data Transfer,Chicago,10.0.0.15,0,1199,False,25,Low
24,2026-08-28 06:18:06.990451,admin01,File Access,Connecticut,172.16.0.10,0,0,True,30,Medium
25,2026-09-05 14:02:06.990451,finance01,Data Transfer,Connecticut,10.0.0.25,0,3209,False,40,Medium
26,2026-09-01 15:14:06.990451,trader01,Data Transfer,Chicago,10.0.0.25,0,2368,False,25,Low
27,2026-09-01 12:46:06.990451,employee02,File Access,Connecticut,10.0.0.25,0,0,False,5,Low
28,2026-09-13 21:23:06.990451,trader01,Successful Login,New York,192.168.1.30,0,0,False,0,Low
29,2026-09-09 10:03:06.990451,analyst01,Failed Login,New Jersey,192.168.1.30,3,0,False,20,Low
