event_id,timestamp,username,event_type,location,ip_address,failed_attempts,data_transferred_mb,privileged_account
1,2026-09-12 19:55:06.990451,finance01,Privilege Change,New Jersey,10.0.0.25,0,0,False
2,2026-08-27 20:54:06.990451,employee02,Data Transfer,London,192.168.1.20,0,1465,False
3,2026-08-25 01:16:06.990451,developer01,Failed Login,Texas,192.168.1.20,7,0,False
4,2026-08-25 08:11:06.990451,employee02,Data Transfer,Texas,192.168.1.30,0,250,False
5,2026-09-03 01:04:06.990451,admin01,Failed Login,New Jersey,10.0.0.15,5,0,True
6,2026-09-04 15:50:06.990451,finance01,Successful Login,London,192.168.1.10,0,0,False
7,2026-09-05 13:15:06.990451,analyst01,Privilege Change,New York,172.16.0.10,0,0,False
8,2026-08-22 20:14:06.990451,analyst01,Privilege Change,California,192.168.1.30,0,0,False
9,2026-08-17 12:44:06.990451,developer01,Privilege Change,London,192.168.1.30,0,0,False
10,2026-08-19 10:48:06.990451,developer01,Failed Login,New York,10.0.0.25,5,0,False
11,2026-08-26 10:45:06.990451,trader01,Successful Login,California,192.168.1.10,0,0,False
12,2026-08-20 02:34:06.990451,trader01,File Access,Texas,172.16.0.10,0,0,False
13,2026-08-19 01:12:06.990451,analyst01,File Access,Connecticut,192.168.1.30,0,0,False
14,2026-08-21 17:51:06.990451,employee02,Successful Login,California,10.0.0.25,0,0,False
15,2026-08-28 06:04:06.990451,employee02,Successful Login,Connecticut,192.168.1.10,0,0,False
16,2026-09-05 22:19:06.990451,finance01,Failed Login,New Jersey,192.168.1.10,3,0,False
17,2026-08-30 03:10:06.990451,developer01,Failed Login,California,192.168.1.30,9,0,False
18,2026-08-22 19:04:06.990451,admin01,Privilege Change,London,192.168.1.30,0,0,True
19,2026-08-25 07:29:06.990451,finance01,Password Reset,Chicago,10.0.0.15,0,0,False
20,2026-09-06 05:25:06.990451,trader01,Password Reset,Texas,172.16.0.10,0,0,False
21,2026-09-10 08:33:06.990451,developer01,Failed Login,New Jersey,172.16.0.10,9,0,False
22,2026-09-02 08:13:06.990451,finance01,Successful Login,Connecticut,192.168.1.30,0,0,False
23,2026-08-29 08:35:06.990451,employee01,Data Transfer,Chicago,10.0.0.15,0,1199,False
24,2026-08-28 06:18:06.990451,admin01,File Access,Connecticut,172.16.0.10,0,0,True
25,2026-09-05 14:02:06.990451,finance01,Data Transfer,Connecticut,10.0.0.25,0,3209,False
26,2026-09-01 15:14:06.990451,trader01,Data Transfer,Chicago,10.0.0.25,0,2368,False
27,2026-09-01 12:46:06.990451,employee02,File Access,Connecticut,10.0.0.25,0,0,False
28,2026-09-13 21:23:06.990451,trader01,Successful Login,New York,192.168.1.30,0,0,False
29,2026-09-09 10:03:06.990451,analyst01,Failed Login,New Jersey,192.168.1.30,3,0,False
30,2026-09-07 21:13:06.990451,employee01,Password Reset,Texas,192.168.1.10,0,0,False
31,2026-08-25 15:25:06.990451,employee01,File Access,New Jersey,192.168.1.20,0,0,False
32,2026-08-22 10:03:06.990451,trader01,Data Transfer,Texas,192.168.1.30,0,3187,False
33,2026-08-28 07:40:06.990451,admin01,Data Transfer,California,192.168.1.20,0,1780,True
34,2026-08-28 22:12:06.990451,trader01,Password Reset,New Jersey,172.16.0.10,0,0,False
35,2026-08-18 21:28:06.990451,admin01,Failed Login,California,10.0.0.15,8,0,True
36,2026-09-04 23:37:06.990451,employee03,File Access,California,10.0.0.15,0,0,False
37,2026-09-07 18:31:06.990451,admin01,Password Reset,London,192.168.1.30,0,0,True
38,2026-09-01 02:33:06.990451,admin01,File Access,Texas,192.168.1.30,0,0,True
39,2026-08-22 19:35:06.990451,finance01,Successful Login,California,10.0.0.25,0,0,False
40,2026-09-04 10:16:06.990451,admin01,Password Reset,New Jersey,192.168.1.10,0,0,True
41,2026-09-13 23:34:06.990451,trader01,File Access,New York,192.168.1.20,0,0,False
42,2026-08-27 10:59:06.990451,employee02,Successful Login,Chicago,10.0.0.15,0,0,False
43,2026-08-24 21:56:06.990451,finance01,Successful Login,Texas,10.0.0.25,0,0,False
44,2026-08-20 00:46:06.990451,finance01,Successful Login,Texas,10.0.0.25,0,0,False
45,2026-09-03 19:12:06.990451,developer01,Password Reset,Chicago,192.168.1.20,0,0,False
46,2026-09-02 10:47:06.990451,employee01,Password Reset,California,10.0.0.15,0,0,False
47,2026-09-03 22:26:06.990451,finance01,Password Reset,Connecticut,192.168.1.30,0,0,False
48,2026-08-31 19:35:06.990451,employee03,Password Reset,Chicago,192.168.1.30,0,0,False
49,2026-09-08 11:28:06.990451,employee03,Password Reset,New York,172.16.0.10,0,0,False
50,2026-09-11 19:57:06.990451,developer01,Password Reset,New York,192.168.1.30,0,0,False
51,2026-08-25 13:29:06.990451,trader01,Failed Login,New Jersey,10.0.0.15,7,0,False
52,2026-08-31 22:49:06.990451,analyst01,Successful Login,New Jersey,10.0.0.15,0,0,False
53,2026-08-19 09:18:06.990451,analyst01,Password Reset,New Jersey,192.168.1.20,0,0,False
54,2026-08-24 21:34:06.990451,analyst01,Data Transfer,California,10.0.0.15,0,4735,False
55,2026-08-28 23:54:06.990451,developer01,Privilege Change,Texas,192.168.1.30,0,0,False
56,2026-08-29 03:30:06.990451,finance01,Failed Login,New Jersey,10.0.0.25,2,0,False
57,2026-08-17 13:53:06.990451,analyst01,Successful Login,New York,172.16.0.10,0,0,False
58,2026-08-22 13:53:06.990451,analyst01,File Access,California,192.168.1.10,0,0,False
59,2026-08-19 14:45:06.990451,employee02,Failed Login,Chicago,192.168.1.30,6,0,False
60,2026-08-31 23:10:06.990451,employee01,Privilege Change,Connecticut,10.0.0.15,0,0,False
61,2026-08-26 23:58:06.990451,trader01,Password Reset,Chicago,10.0.0.15,0,0,False
62,2026-08-22 12:37:06.990451,finance01,Failed Login,New York,192.168.1.20,9,0,False
63,2026-08-30 15:11:06.990451,employee01,Password Reset,New Jersey,192.168.1.10,0,0,False
64,2026-09-08 02:39:06.990451,trader01,Failed Login,New Jersey,192.168.1.10,1,0,False
65,2026-09-08 09:43:06.990451,employee03,Data Transfer,London,172.16.0.10,0,4275,False
66,2026-09-12 14:54:06.990451,trader01,Failed Login,Texas,192.168.1.20,3,0,False
67,2026-09-13 07:11:06.990451,analyst01,Successful Login,California,192.168.1.20,0,0,False
68,2026-09-10 10:28:06.990451,trader01,Successful Login,Chicago,192.168.1.20,0,0,False
69,2026-09-09 11:44:06.990451,employee01,Data Transfer,New York,10.0.0.15,0,1595,False
70,2026-09-08 12:13:06.990451,trader01,Privilege Change,London,10.0.0.15,0,0,False
71,2026-08-31 11:27:06.990451,employee03,Successful Login,New York,192.168.1.10,0,0,False
72,2026-08-26 12:36:06.990451,developer01,Successful Login,Connecticut,192.168.1.10,0,0,False
73,2026-09-06 19:16:06.990451,employee02,Data Transfer,New York,10.0.0.25,0,143,False
74,2026-09-14 01:03:06.990451,developer01,File Access,California,192.168.1.30,0,0,False
75,2026-09-10 02:32:06.990451,employee02,Privilege Change,Connecticut,10.0.0.25,0,0,False
76,2026-09-12 07:58:06.990451,employee03,Failed Login,California,192.168.1.10,2,0,False
77,2026-08-18 07:18:06.990451,employee01,Failed Login,California,192.168.1.20,1,0,False
78,2026-08-24 12:51:06.990451,employee02,File Access,New Jersey,192.168.1.20,0,0,False
